exp_id,name,arm,task,label_type,n_subs,n_class,n_folds,status,note,chance,lds,running_norm,per_subject_norm,reorder,overall_acc,mean_subject_acc,std_subject_acc,ratio_to_chance,macro_recall,n_recall_gt20,recall_by_class,within_video_const_pct,spearman_rho,spearman_p,oof_source
01,FACED 素材9,baseline,FACED,stimulus,123,9,10,ok,,11.11,bidirectional,on,on,on,60.7259,60.7259,18.4671,5.465,60.6379,9,59.5|66.9|55.6|53.4|63.1|65.8|60.9|51.8|68.7,98.87,0.1333,0.7324,runs/versionA_FACED_biLDS_cp/runs/window_predictions_oof_r4/faced_05_47_window_predictions_oof_r4.csv
02,TY 观影 素材9,baseline,movie,stimulus,52,9,5,ok,,11.11,bidirectional,on,on,on,30.0229,30.0229,12.8727,2.702,29.8029,9,26.5|34.6|29.5|20.5|36.0|28.8|27.5|30.6|34.2,97.8,0.2167,0.5755,runs/TY9_movie_mainline_biLDS_cp/runs/window_predictions_oof_r1/ty9_movie_window_predictions_oof_r1.csv
03,TY 讲述 素材9,baseline,comm,stimulus,118,9,5,ok,,11.11,bidirectional,on,on,on,14.8931,14.8931,6.4411,1.34,14.3014,2,11.6|7.3|6.6|11.8|30.9|22.1|10.2|11.9|16.3,98.06,0.5167,0.1544,runs/TY9_communication_mainline_biLDS_cp/runs/window_predictions_oof_r1/ty9_communication_window_predictions_oof_r1.csv
04,TY 观影 自评8,baseline,movie,selfreport,52,8,5,ok,,12.5,bidirectional,on,on,on,26.087,26.1589,10.0945,2.087,25.1204,5,17.7|33.2|18.7|26.3|32.4|15.0|25.1|32.7,97.15,,,runs/TY8_movie_self_mainline_biLDS_cp/runs/window_predictions_oof_r1/ty8_movie_self_window_predictions_oof_r1.csv
05,TY 讲述 自评8,baseline,comm,selfreport,116,8,5,ok,,12.5,bidirectional,on,on,on,17.4308,17.4755,8.203,1.394,14.0886,2,4.0|4.9|1.5|16.6|32.2|6.8|8.3|38.3,98.49,,,runs/TY8_communication_self_mainline_biLDS_cp/runs/window_predictions_oof_r1/ty8_communication_self_window_predictions_oof_r1.csv
06,观影 matched51,baseline,movie,stimulus,51,9,5,ok,,11.11,bidirectional,on,on,on,32.1382,32.1382,13.6058,2.892,32.0661,8,24.6|43.0|32.4|19.0|34.1|43.9|26.6|21.6|43.5,97.48,0.1833,0.6368,runs/TY9_movie_matched51_mainline_biLDS_cp/runs/window_predictions_oof_r1/ty9_movie_matched51_window_predictions_oof_r1.csv
07,讲述 matched51,baseline,comm,stimulus,51,9,5,ok,,11.11,bidirectional,on,on,on,19.0033,19.0033,6.6441,1.71,18.8302,4,24.8|12.4|13.7|18.1|23.7|26.9|19.6|22.0|8.1,98.39,-0.1167,0.765,runs/TY9_communication_matched51_mainline_biLDS_cp/runs/window_predictions_oof_r1/ty9_communication_matched51_window_predictions_oof_r1.csv
08,零样本 FACED→观影,zeroshot,movie,stimulus,52,9,10,ok,,11.11,bidirectional,on,on,on,18.2257,18.2257,10.1154,1.64,18.236,4,13.7|15.8|17.0|21.2|17.9|21.0|26.3|21.8|9.5,,0.3333,0.3807,runs/versionA_biLDS_transfer/FACED_to_TY9_movie_zeroshot_biLDSmlp_cp/runs/zeroshot_eval/window_predictions_ensemble.csv
09,零样本 FACED→讲述,zeroshot,comm,stimulus,118,9,10,ok,,11.11,bidirectional,on,on,on,11.024,11.024,5.7568,0.992,10.9458,0,8.0|6.5|12.1|13.4|13.1|14.3|14.3|11.7|4.9,,0.1167,0.765,runs/versionA_biLDS_transfer/FACED_to_TY9_communication_zeroshot_biLDSmlp_cp/runs/zeroshot_eval/window_predictions_ensemble.csv
10,零样本 观影→讲述m51,zeroshot,comm,stimulus,51,9,5,ok,,11.11,bidirectional,on,on,on,13.8959,13.8959,6.6624,1.251,13.7636,0,14.4|14.7|14.4|12.1|17.5|11.5|12.4|17.0|9.9,,-0.3333,0.3807,runs/versionA_biLDS_transfer/TY9_movie_to_TY9_communication_zeroshot_matched51_biLDSmlp_cp/runs/zeroshot_eval/window_predictions_ensemble.csv
11,MLP-FT FACED→观影,mlpft,movie,stimulus,52,9,5,ok,,11.11,bidirectional,on,on,on,27.7312,27.7312,12.0324,2.496,27.5896,8,21.2|43.9|21.9|23.0|31.6|30.8|26.3|17.7|32.1,98.21,0.1,0.798,runs/DAEST_revised_transfer_queue/FACED_to_TY9_movie_mlp_ft_revised_cp/runs/window_predictions_oof_r1/ty9_movie_window_predictions_oof_r1.csv
